,fun1_c1,fun1_c2,fun1_result,fun1_1_c1,fun1_1_c2,fun1_1_result,fun1_2_c1,fun1_2_c2,fun1_2_result,fun1_3_c1,fun1_3_c2,fun1_3_result,fun2_c1,fun2_c2,fun2_result,fun2_1_c1,fun2_1_c2,fun2_1_result,fun2_2_c1,fun2_2_c2,fun2_2_result,fun2_3_c1,fun2_3_c2,fun2_3_result,fun3_c1,fun3_c2,fun3_result,fun3_1_c1,fun3_1_c2,fun3_1_result,fun3_2_c1,fun3_2_c2,fun3_2_result,fun3_3_c1,fun3_3_c2,fun3_3_result,fun4_c1,fun4_c2,fun4_c3,fun4_result,fun4_1_c1,fun4_1_c2,fun4_1_c3,fun4_1_result,fun4_2_c1,fun4_2_c2,fun4_2_c3,fun4_2_result,fun4_3_c1,fun4_3_c2,fun4_3_c3,fun4_3_result,fun5_c1,fun5_c2,fun5_c3,fun5_result,fun5_1_c1,fun5_1_c2,fun5_1_c3,fun5_1_result,fun5_2_c1,fun5_2_c2,fun5_2_c3,fun5_2_result,fun5_3_c1,fun5_3_c2,fun5_3_c3,fun5_3_result,fun6_c1,fun6_c2,fun6_c3,fun6_result,fun6_1_c1,fun6_1_c2,fun6_1_c3,fun6_1_result,fun6_2_c1,fun6_2_c2,fun6_2_c3,fun6_2_result,fun6_3_c1,fun6_3_c2,fun6_3_c3,fun6_3_result,exSin_c1,exSin_c2,exSin_result,exTan_c1,exTan_c2,exTan_result,exGauss_1_c1,exGauss_1_c2,exGauss_1_result,exGauss_2_c1,exGauss_2_c2,exGauss_2_result
0,-10.0,-5247.0,-5241.249092893538,0.0,-17.0,-0.3448989163828525,-1.0,-27.0,-27.03770370930917,-1000.0,-5002003017.0,-5002003017.001072,-3.14,-1.0015913846440263,-0.9787459479175822,0.0,1.0,0.8813306373048629,0.0,1.0,,-100.0,1.3686845133974428,0.0014043515648369791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09595475412422072,0.0,0.0,-0.7491752912262559,-10.0,-5.151515151515151,-20.303030303030305,-20.303030303030305,0.0,82.82828282828284,165.65656565656568,165.65656565656568,-1.0,-0.7373737373737373,-2.474747474747475,-2.474747474747475,-1000.0,454.5454545454545,-90.90909090909099,-90.90909090909099,-3.14,1.6810101010101017,-1.2199812439557214,-1.4275136870765859,0.0,0.4242424242424242,1.8227016714412354,2.657938647841487,0.0,56.56565656565657,1.999711387580908,,-100.0,75.75757575757578,2.1346246052146256,0.01926990294903215,-10.0,-7.575757575757576,381.30303030303025,381.30461071578713,0.0,50.505050505050505,-352.5353535353535,,-1.0,-0.4747474747474747,6.7474747474747465,6.7702532911012385,-1000.0,555.5555555555554,-670554.5555555552,-443223780073.24493,0.0,1.0,,-1.5707963267948966,1.5574077246549027,1.8145913198132713,-4.0,0.00013383022576488537,9.466304123149445e-06,0.0,0.3989422804014327,
1,-9.797979797979798,-4941.445052504433,-4936.250284011491,1.0101010101010102,-10.857254310269308,14.947226897213293,-0.9797979797979798,-26.562452398693598,-26.511630046140798,-979.7979797979798,-4704973261.423626,-4704973261.424696,-3.0765656565656565,-1.0628676685606064,-1.0381297461747785,0.0707070707070707,1.068149465242506,0.9905422255614911,1.0101010101010102,1.3786607436940226,,-97.97979797979798,-0.27398903130373564,0.0016648953050131914,0.04040404040404041,0.07921827619009177,0.0804640529843162,0.09090909090909091,0.17402275397925937,0.16544067441779062,1.0,1.3862943611198906,1.5297683587688067,10.090909090909092,4.812251543869772,3.753153810304026,-9.797979797979798,-3.737373737373738,-17.272727272727273,-17.272727272727273,1.0101010101010102,81.81818181818183,164.64646464646466,164.64646464646466,-0.9797979797979798,-0.5353535353535352,-2.05050505050505,-2.05050505050505,-979.7979797979798,878.7878787878788,777.7777777777777,777.7777777777777,-3.0765656565656565,-1.2369696969696968,-0.34414988094125853,-0.6350394975468614,0.0707070707070707,5.797979797979798,1.8045044118866274,2.4941300044684818,1.0101010101010102,66.66666666666667,-1.054531897615989,-0.013280407235938346,-97.97979797979798,77.7777777777778,-0.49011995911241013,0.01858211441196721,-9.797979797979798,-2.7272727272727275,196.25660646872768,196.25708443589136,1.0101010101010102,24.242424242424242,-94.21477400265279,-94.19114285630363,-0.9797979797979798,-0.3535353535353535,5.473931231506988,5.493400980072417,-979.7979797979798,50.50505050505035,811197.3064993373,4357102605.650373,0.06346651825433926,0.9979866764718844,,-1.5390630676677268,1.799019678548417,1.9861294081787997,-3.919191919191919,0.0001842953023181513,1.003133873825625e-05,0.20202020202020202,0.39088393119995174,
2,-9.595959595959595,-4648.049655827738,-4643.380939017148,2.0202020202020203,22.122579740884007,-967.3181751699727,-0.9595959595959596,-26.138533586038943,-26.0353653411382,-959.5959595959596,-4419941440.504508,-4419941440.505579,-3.0131313131313133,-1.1198684962989416,-1.0909369508004392,0.1414141414141414,1.130960952563984,1.0908684997575342,2.0202020202020203,0.4662751305246698,,-95.95959595959596,-1.1306262306741033,0.0019961037422137093,0.08080808080808081,0.15541796865463264,0.15740572494348987,0.18181818181818182,0.33410816932633247,0.319916957503431,2.0,2.1972245773362196,2.23937452369822,20.181818181818183,6.10628636153466,5.297322750126872,-9.595959595959595,3.737373737373737,-2.121212121212121,-2.121212121212121,2.0202020202020203,73.73737373737374,149.4949494949495,149.4949494949495,-0.9595959595959596,0.9797979797979799,1.0000000000000002,1.0000000000000002,-959.5959595959596,-979.7979797979798,-2919.191919191919,-2919.191919191919,-3.0131313131313133,-0.8563636363636364,0.3124399596073244,-0.03984916788812246,0.1414141414141414,0.8484848484848484,1.3928895519605948,1.7479242323976174,2.0202020202020203,96.96969696969697,-0.9795570272444455,-0.0017227913851191787,-95.95959595959596,-41.41414141414141,-0.9249161043857014,-0.07414247065885544,-9.595959595959595,-3.737373737373738,226.8351188654219,226.835826508536,2.0202020202020203,4.040404040404041,1.2856851341699809,1.4954948803907895,-0.9595959595959596,0.41414141414141437,-2.170390776451385,-2.18745769411371,-959.5959595959596,818.181818181818,-1440273.767880828,-1983465585205.4175,0.12693303650867852,0.9919548128307953,,-1.5073298085405573,2.1030110406094153,2.20224098780977,-3.8383838383838382,0.00025213805615265854,1.0641644097670095e-05,0.40404040404040403,0.3676724358223576,
3,-9.393939393939394,-4366.566463533406,-4362.39449348779,3.0303030303030303,112.85780671731086,16245.199310115426,-0.9393939393939394,-25.727996215599525,-25.598798473287427,-939.3939393939394,-4146660207.8061323,-4146660207.8072047,-2.9496969696969697,-1.1723645782227705,-1.1373612251621366,0.2121212121212121,1.1881205673799973,1.1715053633290362,3.0303030303030303,-0.8827536606805643,,-93.93939393939394,1.2563456519155385,0.0024257952485388316,0.12121212121212122,0.22882070235548824,0.23120501353631231,0.2727272727272727,0.4823241136337761,0.464660965100295,3.0,2.772588722239781,2.9021748640362977,30.272727272727273,6.885492769150056,6.254360097053374,-9.393939393939394,3.737373737373737,-1.9191919191919204,-1.9191919191919204,3.0303030303030303,22.222222222222225,47.47474747474748,47.47474747474748,-0.9393939393939394,-0.07070707070707061,-1.0808080808080807,-1.0808080808080807,-939.3939393939394,979.7979797979797,1020.20202020202,1020.20202020202,-2.9496969696969697,2.315353535353536,-2.350693042731733,-2.316340838272168,0.2121212121212121,4.808080808080808,0.296953582622257,0.6855414782204055,3.0303030303030303,65.65656565656566,-0.9019722182992815,-0.0014891332909244789,-93.93939393939394,63.636363636363654,1.2333453441773694,0.02206290792891866,-9.393939393939394,-4.545454545454546,249.16345270890727,249.16434409106637,3.0303030303030303,38.38383838383839,90.4398530762167,90.41951641720185,-0.9393939393939394,-0.9393939393939394,11.105601469237833,11.146746375251515,-939.3939393939394,676.7676767676767,-1029529.7621671254,-949363457316.6733,0.1903995547630178,0.9819286972627067,,-1.4755965494133876,2.500794854636975,2.4823650623419735,-3.757575757575758,0.00034270987295859193,1.130178275884682e-05,0.6060606060606061,0.33200897997500833,
4,-9.191919191919192,-4096.748129184922,-4093.0443804352017,4.040404040404041,292.26673118286226,392355.3287730534,-0.9191919191919192,-25.330592940938825,-25.194698469133627,-919.1919191919192,-3884882216.891992,-3884882216.8930607,-2.8862626262626265,-1.2201447453367096,-1.1775919114719922,0.2828282828282828,1.2393426598149515,1.2417461906974734,4.040404040404041,-1.4051281042935324,,-91.91919191919192,0.03903695434868437,0.0029975359046645793,0.16161616161616163,0.29962455645732017,0.29945078878435466,0.36363636363636365,0.6203098566076792,0.6007501909819821,4.0,3.2188758248682006,3.1645724545519993,40.36363636363637,7.44480429230516,6.953172512400825,-9.191919191919192,-1.1111111111111107,-11.414141414141413,-11.414141414141413,4.040404040404041,51.515151515151516,107.07070707070707,107.07070707070707,-0.9191919191919192,-0.5959595959595959,-2.111111111111111,-2.111111111111111,-919.1919191919192,-494.949494949495,-1909.090909090909,-1909.090909090909,-2.8862626262626265,0.5391919191919192,0.7243858450982407,0.3655391637120175,0.2828282828282828,3.535353535353535,-1.7060020768911017,-1.2120533908694153,4.040404040404041,85.85858585858587,-0.11934156170270327,-0.00047699493708310014,-91.91919191919192,-55.55555555555555,0.17366128612800968,-0.049894867551042624,-9.191919191919192,-4.747474747474747,249.63891439649015,249.6398517115978,4.040404040404041,76.76767676767678,410.46842158963375,410.4410858474863,-0.9191919191919192,0.19191919191919204,-0.027752270176513827,-0.02863905394920246,-919.1919191919192,-10.10101010101016,872839.7919600043,176760851.15459287,0.25386607301735703,0.9679487013963564,,-1.443863290286218,3.0489106775170183,2.85846477730021,-3.676767676767677,0.00046278461445970013,1.2016872288404097e-05,0.8080808080808081,0.2878154423606714,
5,-8.98989898989899,-3838.3473063457755,-3835.0840302176343,5.050505050505051,591.2676577013892,-2424398.2259156117,-0.898989898989899,-24.94607641562034,-24.817745792320956,-898.989898989899,-3634360121.325574,-3634360121.3266444,-2.822828282828283,-1.263016798727642,-1.2118139225390054,0.35353535353535354,1.2843712522108655,1.299978658640629,5.050505050505051,-0.6116708407427827,,-89.8989898989899,-1.290263324717174,0.00378334060542053,0.20202020202020204,0.3680072859538789,0.36932868423148707,0.4545454545454546,0.7493868988828214,0.729212919654084,5.0,3.58351893845611,3.5353463118552035,50.45454545454546,7.881397610809625,7.501948814097184,-8.98989898989899,3.5353535353535346,-1.9191919191919204,-1.9191919191919204,5.050505050505051,3.0303030303030303,11.11111111111111,11.11111111111111,-0.898989898989899,-0.5757575757575757,-2.05050505050505,-2.05050505050505,-898.989898989899,70.70707070707067,-757.5757575757576,-757.5757575757576,-2.822828282828283,0.5391919191919192,0.7289222053365951,0.39477005350547284,0.35353535353535354,3.888888888888889,-1.2912098231028812,-0.8648011304016963,5.050505050505051,19.191919191919194,2.461980411969704,-0.0063199854623478555,-89.8989898989899,-33.33333333333333,-1.5027220188067054,-0.10236456936798687,-8.98989898989899,7.373737373737374,-168.6653402714009,-168.66715902961968,5.050505050505051,78.7878787878788,668.7481889603104,668.7212820495647,-0.898989898989899,0.696969696969697,-4.950311192735436,-4.980708986907267,-898.989898989899,-636.3636363636364,2528891.827466585,1976328837533.1414,0.3173325912716963,0.9500711177409454,,-1.4121300311590483,3.86048558085229,3.385401857144839,-3.595959595959596,0.0006208622991664072,1.2792664437671523e-05,1.0101010101010102,0.23952665870127496,
6,-8.787878787878787,-3591.1166485794574,-3588.2668704481885,6.0606060606060606,1040.7788908367422,-57917330.10050823,-0.8787878787878788,-24.574199293207556,-24.46392997026963,-878.7878787878788,-3394846574.6703672,-3394846574.6714377,-2.7593939393939397,-1.3008082826976792,-1.2402076307075134,0.4242424242424242,1.3229813183519843,1.3465557231810026,6.0606060606060606,0.7545853613086704,,-87.87878787878788,1.0820220525813093,0.004910938186291073,0.24242424242424243,0.43412901047565516,0.43514436351067376,0.5454545454545454,0.870636142515691,0.8518952868605705,6.0,3.8918202981106265,3.8422748975241103,60.54545454545455,8.239552000227809,7.950993098602091,-8.787878787878787,4.141414141414142,-0.5050505050505034,-0.5050505050505034,6.0606060606060606,59.5959595959596,125.25252525252526,125.25252525252526,-0.8787878787878788,0.49494949494949503,0.11111111111111127,0.11111111111111127,-878.7878787878788,737.3737373737372,595.9595959595956,595.9595959595956,-2.7593939393939397,-2.1250505050505053,-2.0344145773282087,-2.0134917103924397,0.4242424242424242,4.03030303030303,-1.0502932251064796,-0.6791199898814685,6.0606060606060606,28.282828282828284,-1.8888678074695326,-0.000991370010266029,-87.87878787878788,-13.13131313131312,1.7321288029080013,3.0946745799137227,-8.787878787878787,-2.929292929292929,175.95867768595036,175.95920157460654,6.0606060606060606,90.90909090909092,1054.2598714416895,1054.2266534816977,-0.8787878787878788,0.29292929292929304,-1.0505050505050515,-1.053553692712836,-878.7878787878788,393.93939393939377,-269055.9329660234,-78417438562.9605,0.3807991095260356,0.9283679330160727,,-1.3803967720318788,5.199749632647131,4.156206527353702,-3.515151515151515,0.0008275147546819402,1.3635637284362225e-05,1.2121212121212122,0.191367914541171,
7,-8.585858585858587,-3354.8088094494597,-3352.346325899472,7.070707070707071,1671.7187351527725,-392544778.2036984,-0.8585858585858586,-24.21471422726397,-24.130161513778233,-858.5858585858587,-3166094230.489863,-3166094230.4909344,-2.695959595959596,-1.3333671784787249,-1.2629487562288317,0.4949494949494949,1.354979908012429,1.3819229781989475,7.070707070707071,1.4142103735507434,,-85.85858585858585,0.35013696096964364,0.006629648761956604,0.2828282828282829,0.49813447264800276,0.49879581301184067,0.6363636363636364,0.9849529701955881,0.9603826813331383,7.0,4.1588830833596715,4.110127016614892,70.63636363636364,8.543205634119017,8.328517138409586,-8.585858585858587,-5.353535353535354,-19.292929292929294,-19.292929292929294,7.070707070707071,92.92929292929294,192.92929292929296,192.92929292929296,-0.8585858585858586,0.1515151515151516,-0.5555555555555554,-0.5555555555555554,-858.5858585858587,-474.7474747474748,-1808.0808080808083,-1808.0808080808083,-2.695959595959596,-0.9832323232323232,0.13339148196539985,-0.07426153835916544,0.4949494949494949,2.686868686868687,-1.5518081758779474,-1.2463061693806332,7.070707070707071,75.75757575757576,1.4885855597045945,-1.3620638763202583e-05,-85.85858585858585,15.151515151515156,-0.8293588259663661,0.06253766311655784,-8.585858585858587,5.353535353535353,-100.65187225793284,-100.65323166521284,7.070707070707071,23.232323232323235,381.1754922967045,381.18275896452155,-0.8585858585858586,0.7979797979797982,-5.904091419242937,-5.937825232737247,-858.5858585858587,616.1616161616162,-854225.4054688297,-596754042967.9803,0.4442656277803748,0.9029265382866212,,-1.348663512904709,7.86099840145717,5.247600467987944,-3.4343434343434343,0.0010957722143120606,1.4553102737869394e-05,1.4141414141414141,0.1467776381916519,
8,-8.383838383838384,-3129.176442519265,-3127.075818404341,8.080808080808081,2515.0054952133314,-1435942601.8375149,-0.8383838383838383,-23.867373871353056,-23.814014167865224,-838.3838383838383,-2947855742.347547,-2947855742.3486185,-2.6325252525252525,-1.3605625157381198,-1.2802082585177528,0.5656565656565656,1.3802071112070626,1.4065460188973016,8.080808080808081,0.749498590854454,,-83.83838383838383,-1.3862422735506652,0.009498291470181032,0.32323232323232326,0.5601549461331233,0.5605250413167595,0.7272727272727273,1.0930874127361399,1.071711022666234,8.0,4.394449154672439,4.348712519869295,80.72727272727273,8.8067755233465,8.652213125946664,-8.383838383838384,8.18181818181818,7.979797979797976,7.979797979797976,8.080808080808081,55.55555555555556,119.1919191919192,119.1919191919192,-0.8383838383838383,-0.2525252525252525,-1.3434343434343434,-1.3434343434343434,-838.3838383838383,333.33333333333326,-171.71717171717182,-171.71717171717182,-2.6325252525252525,-1.7444444444444445,-1.313334301326782,-1.3463179824677984,0.5656565656565656,6.929292929292929,1.8759394286557745,1.9697597670734726,8.080808080808081,76.76767676767678,-0.3826162607203011,8.007925519230639e-05,-83.83838383838383,-37.37373737373737,2.776306054826372,-0.08454801572042155,-8.383838383838384,8.585858585858585,-204.75961636567695,-204.76171073818344,8.080808080808081,76.76767676767678,1389.9603101724315,1389.935738304456,-0.8383838383838383,1.0,-7.812264054688297,-7.860404701365679,-838.3838383838383,-757.5757575757576,2613609.3052749718,2699636852022.3203,0.5077321460347141,0.873849377069785,,-1.3169302537775396,15.835834849025439,15.911889583419434,-3.3535353535353534,0.001441547316537095,1.5553332299616848e-05,1.6161616161616161,0.10807523024827295,
9,-8.181818181818182,-2913.9722013523665,-2912.2087667525634,9.090909090909092,3601.5574755822704,-2366288566.143578,-0.8181818181818181,-23.531930879038317,-23.513549135688724,-818.1818181818182,-2739883763.8069124,-2739883763.8079844,-2.5690909090909093,-1.382284899415552,-1.2921522356030368,0.6363636363636364,1.3985368573268135,1.4208975403851911,9.090909090909092,-0.617080877291529,,-81.81818181818181,0.8543143760407573,0.01507638787019774,0.36363636363636365,0.6203098566076792,0.6204804924029538,0.8181818181818182,1.195674001511241,1.1756878913380702,9.0,4.605170185988092,4.563942481906921,90.81818181818183,9.03962067407387,8.934012712004833,-8.181818181818182,-2.7272727272727275,-13.636363636363637,-13.636363636363637,9.090909090909092,58.58585858585859,126.26262626262627,126.26262626262627,-0.8181818181818181,0.7979797979797982,0.7777777777777783,0.7777777777777783,-818.1818181818182,474.7474747474746,131.31313131313095,131.31313131313095,-2.5690909090909093,2.8862626262626265,-2.8944692001414873,-2.4372105925351772,0.6363636363636364,3.04040404040404,-1.6769294391940053,-1.3734930491602644,9.090909090909092,8.080808080808081,-1.4358715717330932,0.1297418388451558,-81.81818181818181,-5.050505050505038,0.7317539564877462,0.21354939907233214,-8.181818181818182,4.141414141414142,-62.7006427915519,-62.701726586352734,9.090909090909092,70.70707070707071,1517.0697887970618,1517.048860988093,-0.8181818181818181,-0.9595959595959596,10.74196510560147,10.788998276450679,-818.1818181818182,-737.3737373737374,2484501.459136823,2372727353633.7627,0.5711986642890533,0.8412535328311811,,-1.2851969946503699,-2485.475404515734,-2483.342510727228,-3.2727272727272725,0.0018840898101538152,1.664570457596623e-05,1.8181818181818181,0.07639552978506675,
